code,name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,total_count,total_count_2019,change,activer per 1000,income,poverty,age_med,population,black_population,asian_population,hispanic_population,occupied_unit,vacant_unit,owner,renter,vacant_occupied_ratio,owner_renter_ratio,black_pct,asian_pct,hispanic_pct,retailers_per_1000,perc_owners,borough,is_midtown
2,Manhattan 8,74,93,0,39,54,0,147,222,0.662162162,0.449329629,143047,7.2,31.7,206975,9931,27725,18488,114602,25116,45126,69476,0.2191584789096176,0.6495192584489607,0.047981640294721586,0.1339533760115956,0.089324798,0.7102307041913275,39.37627615573899,Manhattan,FALSE
2,Manhattan 1&2,141,172,0,82,107,0,279,419,0.665871122,1.153572722,159292,8.5,49.5,149102,8019,27571,13697,78584,12247,21518,57066,0.1558459737351114,0.3770721620579679,0.053781975,0.18491368325039234,0.091863288,1.8712022642218078,27.382164308256137,Manhattan,FALSE
1,Bronx 10,52,65,0,30,37,0,102,152,0.671052632,0.4746951,61426,18.9,36.6,136930,45796,9397,65555,56040,2306,25013,31027,0.041149179,0.8061688207045477,0.3344482582341342,0.068626305,0.4787482655371358,0.7449061564302928,44.634189864382584,Bronx,FALSE
3,Brooklyn 12,49,58,0,16,23,0,81,119,0.680672269,0.303080975,66061,23.8,36.9,191368,8543,34373,25220,54133,5397,14945,39188,0.09969889,0.3813667449219148,0.044641737385560806,0.17961728188620876,0.13178796873040424,0.42326825801596923,27.607928620250128,Brooklyn,FALSE
4,Queens 3,64,75,0,20,30,0,105,154,0.681818182,0.461010782,77503,15.6,35.3,162686,14601,30152,104796,54221,5094,19610,34611,0.093948839,0.5665828782756926,0.089749579,0.18533862778604182,0.6441611447819726,0.6454150941076675,36.16679884177717,Queens,FALSE
4,Queens 11,28,36,0,15,22,0,58,85,0.682352941,0.304329081,99269,8.4,47.9,118293,6526,60889,14190,44752,1364,30970,13782,0.030479085,2.2471339428239734,0.0551681,0.5147303728876603,0.11995637949836423,0.4903079641229828,69.20361101179836,Queens,FALSE
3,Brooklyn 6,48,61,0,26,38,0,99,145,0.682758621,0.565181136,156437,9.3,38.8,107930,11555,12213,15078,50621,2895,18649,31972,0.057189704,0.5832916301764044,0.10706013156675623,0.11315667562308904,0.13970165848234967,0.9172611878069119,36.840441713913194,Brooklyn,FALSE
5,Staten Island 2,50,59,0,34,53,0,112,158,0.708860759,0.405481561,91734,9.6,48.8,145506,7366,29886,18311,49768,3884,35944,13824,0.078042115,2.600115740740741,0.050623341992770056,0.20539359201682406,0.12584360782373236,0.7697277088230039,72.22311525478219,Staten Island,FALSE
4,Queens 5,99,132,0,35,49,0,181,255,0.709803922,0.750034092,86150,11.3,32.3,175992,7943,19817,66619,65971,6232,25512,40459,0.09446575,0.6305642749450061,0.045132733,0.11260170916859857,0.37853425155688897,1.0284558389017684,38.67153749374725,Queens,FALSE
2,Manhattan 4,97,121,0,58,86,0,207,291,0.711340206,1.074772166,110114,15.4,44.5,112582,9755,21765,23475,67653,12663,12068,55585,0.1871757350006651,0.217108932,0.086647954,0.19332575367287844,0.2085146826313265,1.8386598212858183,17.838085524662617,Manhattan,TRUE
4,Queens 1,106,131,0,46,65,0,196,271,0.723247232,0.739632442,81167,16.1,41.6,177115,21301,34324,44477,80758,20287,15196,65562,0.2512073107308254,0.231780605,0.12026649352115856,0.19379499195437994,0.25111932924935776,1.106625638709313,18.816711657049456,Queens,FALSE
4,Queens 4,64,87,0,18,25,0,112,152,0.736842105,0.541941271,64028,17.9,34.2,160534,14967,57315,79668,53550,3240,13744,39806,0.060504202,0.3452745817213485,0.093232586,0.35702717181407057,0.49626870320305977,0.6976715212976691,25.665732959850608,Queens,FALSE
5,Staten Island 1,99,110,0,34,54,0,164,222,0.738738739,0.596025055,81246,15,40.9,184556,44113,22411,56857,65022,5996,36570,28452,0.092214943,1.2853226486714466,0.2390223021738659,0.121431977,0.3080745139686599,0.8886191725004876,56.242502537602654,Staten Island,FALSE
4,Queens 2,70,85,0,26,41,0,126,170,0.741176471,0.674999603,81167,11.5,38.3,125926,5751,41518,42039,55763,8266,12977,42786,0.1482344924053583,0.3033001449072126,0.045669679,0.3297015707637819,0.3338389212712228,1.000587646713149,23.27170345928304,Queens,FALSE
4,Queens 7,71,97,0,31,51,0,148,188,0.787234043,0.392949593,70508,16,43.1,246851,6123,138953,42745,96922,4750,48167,48755,0.049008481,0.9879396984924624,0.024804436684477682,0.5629023175923938,0.1731611376903476,0.5995519564433606,49.69666329625885,Queens,FALSE
4,Queens 6,35,51,0,19,32,0,83,105,0.79047619,0.39660321,90502,10.6,51,128592,5842,38311,30696,56010,2578,25012,30998,0.046027495,0.8068907671462675,0.045430509,0.2979267761602588,0.23870847331093692,0.6454522831902452,44.656311372969114,Queens,FALSE
4,Queens 10,47,68,0,21,34,0,102,129,0.790697674,0.526837734,94153,9.1,48.2,129072,30470,34014,30695,39767,2191,27198,12569,0.055095934,2.163895297955287,0.23606979050452462,0.26352733358125696,0.23781300359489277,0.7902566009669021,68.39339150551965,Queens,FALSE
4,Queens 8,38,55,0,21,39,0,94,117,0.803418803,0.371508663,78087,11.8,46.6,148045,23421,56781,30853,55342,2776,27176,28166,0.050160818,0.964851239,0.15820189807153232,0.3835387888817589,0.20840285048464993,0.6349420784221014,49.105561779480325,Queens,FALSE
5,Staten Island 3,42,61,0,32,53,0,114,137,0.832116788,0.378714977,108376,7.8,42.8,161071,4926,18040,17362,55156,4671,44186,10970,0.084687069,4.027894257064722,0.030582786473046047,0.11200029800522751,0.10779097416667184,0.7077624153323689,80.11095801000798,Staten Island,FALSE
