med_inc_estimate,med_age_estimate,perc_poverty_estimate,renters_to_owners,perc_ethnic,counts
115064,40.7,14.1,0.6608391608391608,69.75359342915812,2
100553,36.3,6.0,0.63875088715401,69.68195620904586,4
41362,43.9,15.0,3.856828193832599,62.89460903351141,2
49500,32.4,28.6,inf,48.4181568088033,1
67375,35.2,32.3,5.591549295774648,77.376526818906,2
19743,32.4,47.3,inf,57.24381625441697,1
27378,32.8,44.5,18.247524752475247,72.31478199220135,13
21427,32.9,55.2,49.391304347826086,62.75862068965517,1
29206,30.4,44.0,38.23076923076923,67.96,6
64308,43.3,2.5,9.771186440677965,33.78585086042065,4
41370,30.3,22.7,6.870229007633588,61.821023837436506,3
24122,31.3,52.8,6.530864197530864,63.07951671817926,2
34185,30.0,26.8,24.482758620689655,59.015132085150036,4
20640,34.4,33.5,27.072289156626507,94.4435522723623,9
27328,33.4,41.9,12.282608695652174,58.83335865107093,5
52423,30.6,19.6,7.543859649122807,55.0311774055508,2
34890,32.7,27.3,6.476351351351352,69.04211835791718,10
17319,33.2,48.7,23.76923076923077,61.99912891986064,2
17083,34.2,60.5,4.793103448275862,68.29268292682926,1
34436,29.4,30.2,12.47787610619469,78.36188688101385,2
34087,30.4,49.0,7.196428571428571,66.76889375684556,2
36598,29.7,40.7,12.170068027210885,74.17259511289825,6
22850,28.6,50.1,14.42483660130719,47.119531731361675,4
29657,32.2,37.9,8.213483146067416,62.76540652511652,1
26437,23.1,49.9,inf,42.08960773377951,3
48750,30.5,27.3,6.483193277310924,72.54593175853019,5
39572,36.0,34.9,5.311258278145695,80.96062310688013,3
48456,37.0,30.9,2.0714285714285716,71.03471749489448,1
30236,29.7,37.6,50.89795918367347,66.86504745053885,6
55396,38.4,26.9,3.506849315068493,60.85543199315655,14
24730,32.1,42.5,3.9392857142857145,64.89307535641548,2
22985,28.8,53.5,16.256,62.3778212191221,14
17390,31.4,53.0,24.106796116504853,71.18193891102258,9
29844,31.2,34.4,4.530487804878049,83.39350180505414,2
29627,32.4,38.3,19.934782608695652,71.53694858106209,5
57905,35.9,29.4,2.0736342042755345,76.40217110364435,4
44792,34.6,17.6,1.5685071574642127,67.79247910863509,1
63449,36.6,16.3,1.85146804835924,83.85686528497409,6
28166,28.5,35.0,10.541353383458647,68.31683168316832,3
34484,33.0,32.7,4.373033707865169,65.63718140929535,6
53784,36.2,16.4,3.5784313725490198,72.57780387551381,7
48846,29.0,22.0,3.1605839416058394,66.2511542012927,3
61328,33.8,22.8,2.3604852686308493,75.8051594295786,6
34604,28.6,31.6,inf,65.32599491955969,7
50920,34.0,17.4,3.516569200779727,74.90859232175502,8
34543,37.2,35.8,3.570212765957447,68.69126348764358,10
36402,31.2,42.4,38.39622641509434,73.17657630672458,6
41484,45.3,18.5,11.442307692307692,84.10003087372647,3
33831,34.1,36.8,4.028225806451613,65.68255687973999,6
56208,33.9,22.0,2.8426501035196687,85.28276556469207,10
47185,31.9,26.5,9.970760233918128,71.47651006711409,6
53333,38.9,19.5,2.859030837004405,80.83941605839416,2
56128,48.4,18.4,1.240766073871409,79.27889713679745,3
28592,33.2,42.4,7.317919075144508,64.002828854314,5
33967,27.3,34.0,12.694444444444445,67.06428098078197,3
109396,26.2,10.8,0.58,94.34287685408762,1
34335,24.8,29.7,16.05263157894737,65.0592628673486,8
55000,34.6,29.6,4.073891625615763,68.02342606149341,3
43472,36.0,23.2,57.0,63.275991024682135,4
47402,35.3,12.5,8.037234042553191,45.81892166836216,4
51875,30.9,30.6,3.2646153846153845,79.45409429280397,4
44667,30.8,29.0,2.7864077669902914,76.99186991869918,2
40575,31.7,35.8,19.702380952380953,78.91753519839094,9
59083,39.8,27.2,0.9692982456140351,96.43423137876387,1
104651,39.3,9.9,0.6059479553903345,74.68616360877363,5
34055,37.2,21.2,11.02116402116402,63.431599867505795,2
27602,36.5,43.4,14.24742268041237,47.519999999999996,3
84042,43.0,12.7,0.5272496831432193,80.46480296396092,1
35506,33.1,27.3,14.32972972972973,62.147763914201605,6
16678,36.9,41.6,inf,52.944606413994165,1
29213,30.7,30.0,6.133136094674557,57.92419638573485,1
27352,33.7,49.6,66.16666666666667,32.43579766536965,3
21196,26.3,41.6,76.36,53.822629969418955,1
41311,31.2,37.3,4.13840830449827,64.9176327028676,3
28618,42.6,41.8,4.3538461538461535,43.67100913863504,9
77238,37.2,13.5,1.01840490797546,85.10877719429857,3
38862,31.4,26.0,10.237179487179487,47.44051910598414,1
37168,38.4,23.1,17.147540983606557,60.142711518858306,6
39776,32.6,36.7,16.605042016806724,53.061594202898554,1
70357,41.8,25.5,1.6,94.79808350444901,1
24485,36.2,37.4,7.235849056603773,83.49864743011722,1
96838,44.9,7.6,0.5228891149542217,95.38816295157571,1
22286,41.8,39.4,176.9090909090909,67.46102449888642,6
115278,38.5,6.1,0.7152542372881356,90.14238773274917,2
66912,42.6,26.1,0.9433962264150944,91.64237123420797,1
46179,32.3,23.9,inf,38.27160493827161,2
105764,39.6,14.5,1.1588541666666667,85.85022755482002,3
41500,32.3,40.0,16.692307692307693,47.76326757432621,3
50107,31.5,41.7,7.173913043478261,50.36958817317846,3
17446,36.0,48.1,16.374045801526716,47.79285602870067,4
26463,33.9,30.4,inf,44.980379332897314,7
30375,39.5,50.5,17.56756756756757,39.66504133983464,6
47963,32.7,32.5,5.276515151515151,40.784671532846716,8
47035,36.5,22.6,11.676691729323307,70.05494505494505,3
41475,29.2,24.7,inf,47.012578616352194,2
33950,36.7,29.1,52.170731707317074,57.656335961855866,3
56508,45.4,14.7,3.5610859728506785,66.36655948553054,3
72540,35.9,11.6,14.368421052631579,55.516304347826086,1
117819,34.9,9.0,1.3294701986754967,96.84210526315789,5
50177,34.1,32.6,inf,39.34602946460654,5
21635,32.3,45.3,42.75,57.07950585999366,3
45770,28.7,34.6,39.23943661971831,59.57446808510638,7
38663,34.8,25.2,40.55172413793103,49.40165177818978,5
70185,41.7,20.2,0.9259259259259259,82.46376811594203,2
33412,33.9,47.9,21.26890756302521,48.01903961920762,7
34871,32.2,50.7,inf,76.1941251596424,7
35139,38.2,33.8,14.480952380952381,60.125400213447165,6
46021,33.4,23.8,4.522222222222222,89.26038500506586,11
37433,34.1,41.1,inf,61.50465356773527,4
53651,39.3,22.1,4.197860962566845,87.85880527540729,4
59138,30.6,17.8,4.653846153846154,86.78618857901726,1
28510,36.8,27.7,5.591194968553459,59.270633397312864,1
55648,39.9,31.8,2.378839590443686,88.6867088607595,2
44769,34.2,23.0,58.54545454545455,54.57160468461064,4
46269,36.6,30.3,5.047538200339559,43.153894870170994,3
71397,32.3,22.9,4.582456140350877,59.40694006309148,1
42077,31.2,26.9,8.935323383084578,62.587747287811105,1
66329,42.1,18.1,2.9965156794425085,64.1608040201005,3
34470,29.3,19.9,2.899159663865546,66.51549508692366,1
23639,41.6,51.3,24.58888888888889,51.185471666386405,3
39756,32.7,40.2,14.11111111111111,80.2357984994641,3
19904,28.7,43.3,12.736196319018404,71.571714858288,6
45156,29.8,22.9,6.247747747747748,75.68423433612304,4
60286,36.6,18.3,2.706436420722135,70.27736747086821,4
40394,35.9,34.7,49.885714285714286,58.946192515360266,5
55804,40.2,29.9,3.3784860557768925,78.59864170945833,5
45906,38.4,24.6,inf,78.71443624868282,5
32174,26.9,50.4,7.333333333333333,73.20261437908498,6
55078,29.8,36.1,inf,77.80289330922243,2
50051,28.9,28.8,inf,84.90965326387759,5
52734,32.9,27.3,4.610526315789474,91.47914791479148,3
33646,29.9,28.3,inf,83.40370846337434,5
63571,36.5,10.7,5.438709677419355,82.27272727272728,3
88534,34.0,11.2,5.30939226519337,78.08539026017345,5
66121,35.9,12.2,2.8974358974358974,77.22627737226277,2
52834,31.1,27.7,21.735294117647058,75.38766083800725,7
31500,33.9,31.8,50.48717948717949,54.347826086956516,6
27165,31.7,51.3,16.46875,79.57211870255348,4
86549,37.6,12.9,9.038135593220339,72.10609520463727,4
50023,33.5,31.6,30.59375,46.761800219538976,2
51964,32.8,32.6,3.6047430830039526,71.35104255926879,5
55625,31.7,28.7,3.9663461538461537,83.37540569780022,2
55179,34.1,28.5,7.895833333333333,43.164179104477604,4
55288,32.6,25.7,2.611353711790393,90.32800672834314,2
31887,38.5,31.3,9.929936305732484,60.413080895008605,2
39419,35.3,33.1,94.07692307692308,74.86338797814207,2
49286,30.0,22.8,9.19108280254777,65.97081930415264,4
73152,31.6,10.4,8.03225806451613,86.93115519253209,7
53304,32.9,36.9,19.4375,61.67820069204153,4
21551,30.5,50.1,81.22727272727273,68.41196777905638,9
34875,32.5,42.8,inf,77.30666666666667,5
72198,32.4,12.5,1.855513307984791,90.08088548318433,4
46927,29.7,29.4,inf,65.09731434163314,9
76250,32.8,18.6,1.0149253731343284,70.68852459016394,4
45425,33.6,22.4,inf,66.25984860188476,11
29747,35.5,30.5,996.0,77.57803239826156,5
58603,38.5,11.2,1.7484076433121019,94.01144870101277,4
43504,35.6,25.9,23.419354838709676,64.49229470128773,2
33333,30.8,28.1,33.97142857142857,64.96525921966862,3
64961,39.9,10.4,3.3563218390804597,85.0400987045034,2
98700,41.6,7.2,0.9417879417879418,91.5086887835703,2
44845,41.5,27.0,4.004395604395604,78.23057112558703,6
85192,34.1,11.5,2.3308823529411766,93.7029702970297,3
49906,30.9,21.2,47.333333333333336,76.73761223811107,11
78500,43.1,15.5,0.828978622327791,98.15184815184816,2
39231,33.5,28.6,41.31578947368421,78.88659793814433,3
51053,36.2,9.1,3.9206349206349205,92.27774172615185,1
37361,35.3,25.8,16.822580645161292,85.00869061413673,7
70463,34.6,12.7,1.5241379310344827,90.91507570770243,1
57900,34.1,20.8,28.384615384615383,88.52209944751381,6
47778,35.4,26.5,4.288,95.20897043832824,6
46069,45.0,20.3,6.798722044728435,86.06106580694102,11
49167,31.9,22.9,38.5,78.0011013215859,5
54396,39.0,24.7,7.863636363636363,71.39001349527665,3
89925,43.4,3.9,0.2894930198383541,97.28238659583162,2
29939,37.3,32.3,27.26984126984127,86.87362503055488,3
57129,35.7,16.3,3.1778425655976674,78.53307138179437,2
70543,40.7,10.9,2.2363636363636363,91.93147278253662,5
87917,56.8,5.8,0.864,94.63157894736842,2
86757,40.8,16.4,0.9169811320754717,91.63074712643679,1
53138,35.9,29.8,3.6132075471698113,90.03083247687564,11
