census_tract,med_inc_estimate,med_age_estimate,perc_poverty_estimate,perc_owners,perc_ethnic,counts
36005015300,38862,31.4,26.0,8.899030233884769,47.44051910598414,1
36005015500,37168,38.4,23.1,5.510388437217705,60.142711518858306,6
36005015700,39776,32.6,36.7,5.68019093078759,53.061594202898554,1
36005015800,70357,41.8,25.5,38.46153846153847,94.79808350444901,1
36005015900,24485,36.2,37.4,12.142038946162657,83.49864743011722,1
36005016000,96838,44.9,7.6,65.66466265865063,95.38816295157571,1
36005016100,22286,41.8,39.4,0.5620848237097598,67.46102449888642,6
36005016200,115278,38.5,6.1,58.30039525691699,90.14238773274917,2
36005016400,66912,42.6,26.1,51.45631067961165,91.64237123420797,1
36005016500,46179,32.3,23.9,0.0,38.27160493827161,2
36005016600,105764,39.6,14.5,46.32086851628468,85.85022755482002,3
36005016700,41500,32.3,40.0,5.6521739130434785,47.76326757432621,3
36005016900,50107,31.5,41.7,12.23404255319149,50.36958817317846,3
36005017300,17446,36.0,48.1,5.755711775043936,47.79285602870067,4
36005017500,26463,33.9,30.4,0.0,44.980379332897314,7
36005017701,30375,39.5,50.5,5.385735080058224,39.66504133983464,6
36005017702,47963,32.7,32.5,15.932407966203982,40.784671532846716,8
36005017901,47035,36.5,22.6,7.888493475682087,70.05494505494505,3
36005017902,41475,29.2,24.7,0.0,47.012578616352194,2
36005018102,33950,36.7,29.1,1.8807339449541285,57.656335961855866,3
36005018301,56508,45.4,14.7,21.924603174603174,66.36655948553054,3
36005018302,72540,35.9,11.6,6.506849315068493,55.516304347826086,1
36005018400,117819,34.9,9.0,42.92821606254442,96.84210526315789,5
36005018501,50177,34.1,32.6,0.0,39.34602946460654,5
36005018502,21635,32.3,45.3,2.2857142857142856,57.07950585999366,3
36005018900,45770,28.7,34.6,2.485124256212811,59.57446808510638,7
36005019300,38663,34.8,25.2,2.406639004149378,49.40165177818978,5
36005019400,70185,41.7,20.2,51.92307692307693,82.46376811594203,2
36005019500,33412,33.9,47.9,4.490566037735849,48.01903961920762,7
36005019700,34871,32.2,50.7,0.0,76.1941251596424,7
36005019900,35139,38.2,33.8,6.459550907413103,60.125400213447165,6
36005020000,46021,33.4,23.8,18.10865191146881,89.26038500506586,11
36005020100,37433,34.1,41.1,0.0,61.50465356773527,4
36005020200,53651,39.3,22.1,19.238683127572017,87.85880527540729,4
36005020400,59138,30.6,17.8,17.687074829931973,86.78618857901726,1
36005020502,28510,36.8,27.7,15.171755725190838,59.270633397312864,1
36005020601,55648,39.9,31.8,29.5959595959596,88.6867088607595,2
36005020900,44769,34.2,23.0,1.6793893129770994,54.57160468461064,4
36005021001,46269,36.6,30.3,16.535654126895004,43.153894870170994,3
36005021002,71397,32.3,22.9,17.91326209930861,59.40694006309148,1
36005021100,42077,31.2,26.9,10.065097646469704,62.587747287811105,1
36005021200,66329,42.1,18.1,25.021795989537924,64.1608040201005,3
36005021301,34470,29.3,19.9,25.646551724137932,66.51549508692366,1
36005021302,23639,41.6,51.3,3.907946157186279,51.185471666386405,3
36005021501,39756,32.7,40.2,6.61764705882353,80.2357984994641,3
36005021502,19904,28.7,43.3,7.280035730236713,71.571714858288,6
36005021601,45156,29.8,22.9,13.79738968303294,75.68423433612304,4
36005021602,60286,36.6,18.3,26.98009318085557,70.27736747086821,4
36005021700,40394,35.9,34.7,1.9651880965749577,58.946192515360266,5
36005021800,55804,40.2,29.9,22.83894449499545,78.59864170945833,5
36005021900,45906,38.4,24.6,0.0,78.71443624868282,5
36005022000,32174,26.9,50.4,12.0,73.20261437908498,6
36005022101,55078,29.8,36.1,0.0,77.80289330922243,2
36005022102,50051,28.9,28.8,0.0,84.90965326387759,5
36005022200,52734,32.9,27.3,17.823639774859288,91.47914791479148,3
36005022300,33646,29.9,28.3,0.0,83.40370846337434,5
36005022401,63571,36.5,10.7,15.531062124248496,82.27272727272728,3
36005022403,88534,34.0,11.2,15.849387040280211,78.08539026017345,5
36005022404,66121,35.9,12.2,25.657894736842106,77.22627737226277,2
36005022500,52834,31.1,27.7,4.3984476067270375,75.38766083800725,7
36005022701,31500,33.9,31.8,1.9422310756972112,54.347826086956516,6
36005022702,27165,31.7,51.3,5.724508050089446,79.57211870255348,4
36005022800,86549,37.6,12.9,9.962009286618827,72.10609520463727,4
36005022901,50023,33.5,31.6,3.165182987141444,46.761800219538976,2
36005022902,51964,32.8,32.6,21.716738197424892,71.35104255926879,5
36005023000,55625,31.7,28.7,20.135527589545017,83.37540569780022,2
36005023100,55179,34.1,28.5,11.241217798594848,43.164179104477604,4
36005023200,55288,32.6,25.7,27.690447400241837,90.32800672834314,2
36005023301,31887,38.5,31.3,9.14918414918415,60.413080895008605,2
36005023501,39419,35.3,33.1,1.051779935275081,74.86338797814207,2
36005023502,49286,30.0,22.8,9.8125,65.97081930415264,4
36005023600,73152,31.6,10.4,11.071428571428571,86.93115519253209,7
36005023702,53304,32.9,36.9,4.892966360856269,61.67820069204153,4
36005023703,21551,30.5,50.1,1.2161415146489774,68.41196777905638,9
36005023704,34875,32.5,42.8,0.0,77.30666666666667,5
36005023800,72198,32.4,12.5,35.01997336884155,90.08088548318433,4
36005023900,46927,29.7,29.4,0.0,65.09731434163314,9
36005024000,76250,32.8,18.6,49.629629629629626,70.68852459016394,4
36005024100,45425,33.6,22.4,0.0,66.25984860188476,11
36005024300,29747,35.5,30.5,0.10030090270812438,77.57803239826156,5
36005024400,58603,38.5,11.2,36.384704519119346,94.01144870101277,4
36005024501,43504,35.6,25.9,4.095112285336857,64.49229470128773,2
36005024502,33333,30.8,28.1,2.8594771241830066,64.96525921966862,3
36005024800,64961,39.9,10.4,22.95514511873351,85.0400987045034,2
36005025000,98700,41.6,7.2,51.49892933618844,91.5086887835703,2
36005025100,44845,41.5,27.0,19.982433025911288,78.23057112558703,6
36005025200,85192,34.1,11.5,30.022075055187635,93.7029702970297,3
36005025300,49906,30.9,21.2,2.0689655172413794,76.73761223811107,11
36005025400,78500,43.1,15.5,54.675324675324674,98.15184815184816,2
36005025500,39231,33.5,28.6,2.36318407960199,78.88659793814433,3
36005025600,51053,36.2,9.1,20.32258064516129,92.27774172615185,1
36005026300,37361,35.3,25.8,5.610859728506788,85.00869061413673,7
36005026400,70463,34.6,12.7,39.61748633879781,90.91507570770243,1
36005026500,57900,34.1,20.8,3.4031413612565444,88.52209944751381,6
36005026601,47778,35.4,26.5,18.910741301059,95.20897043832824,6
36005026602,46069,45.0,20.3,12.822613682916836,86.06106580694102,11
36005026701,49167,31.9,22.9,2.5316455696202533,78.0011013215859,5
36005027300,54396,39.0,24.7,11.282051282051283,71.39001349527665,3
36005027401,89925,43.4,3.9,77.54985754985755,97.28238659583162,2
36005027700,29939,37.3,32.3,3.537338573834924,86.87362503055488,3
36005027900,57129,35.7,16.3,23.93579902302861,78.53307138179437,2
36005028500,70543,40.7,10.9,30.89887640449438,91.93147278253662,5
36005028600,87917,56.8,5.8,53.648068669527895,94.63157894736842,2
36005028800,86757,40.8,16.4,52.16535433070866,91.63074712643679,1
36005028900,53138,35.9,29.8,21.676891615541923,90.03083247687564,11
36005029302,121250,47.5,8.4,65.8017041053447,88.67579908675799,2
36005029500,95435,44.2,15.8,53.849855630413856,88.97808635278803,4
36005029600,55486,34.6,11.1,19.523269012485812,91.15614923998157,2
36005029700,97132,52.8,3.1,58.31497797356828,88.97949098097357,1
36005030000,90307,39.0,15.3,38.189935064935064,89.55535660996718,6
36005030202,59107,47.5,9.7,39.22108575924469,25.604578179804317,3
36005031200,118529,34.1,4.0,59.55631399317406,78.98591549295774,2
36005032300,96678,60.0,5.8,64.11897590361446,91.4684704342134,3
36005032400,40239,41.2,29.4,14.103585657370518,77.4183112261404,2
36005032600,104870,44.9,10.1,45.0,83.97014925373134,5
36005032800,46648,35.3,23.4,13.278008298755188,81.46390207344491,2
36005033000,44785,37.0,22.4,11.075367647058822,72.81167108753316,9
36005033201,37898,44.7,26.7,19.41544885177453,91.5793635105752,2
36005033202,42114,50.9,19.3,20.856269113149846,77.42903930131004,3
36005033601,27674,37.4,43.7,2.042711234911792,53.74625374625375,4
36005033700,144886,51.5,4.3,74.0701381509033,96.69260700389106,5
36005033801,68330,28.9,18.9,19.745222929936308,61.98054818744474,3
36005033802,69960,31.0,25.7,3.9861351819757362,65.22689994532531,2
36005034000,64727,33.0,15.5,22.788931090613133,60.43010752688171,4
36005034200,67809,34.3,12.5,37.990580847723706,41.06162294081758,1
36005034300,87950,40.4,2.5,50.7563025210084,93.27777777777779,2
36005034400,73438,39.0,29.8,59.80861244019139,39.237330657300554,1
36005034500,118583,44.6,11.9,54.649595687331534,89.38679245283019,1
36005034800,47593,34.6,26.3,35.59730250481696,50.60709082078678,4
36005035000,69178,38.6,6.5,48.079658605974394,30.243669374104154,5
36005035100,110513,29.9,9.3,42.22720478325859,90.74556830031283,1
36005035600,98523,33.9,9.1,62.00607902735562,18.587699316628704,1
36005035800,85804,40.5,12.7,64.69937292511987,29.72625626526153,3
36005035900,24823,30.9,51.9,5.702127659574468,70.36247334754798,2
36005036000,96250,48.8,5.2,72.02505219206681,42.632241813602015,2
36005036100,24728,31.3,51.9,0.6931608133086876,59.52045133991537,1
36005036300,26524,35.3,42.5,6.461148648648648,59.021360399939404,7
36005036400,62188,40.4,7.1,56.872037914691944,8.879067898754522,4
36005036501,41287,31.8,30.5,2.2743425728500357,43.68446139180172,4
36005036502,31729,29.7,39.3,4.609475032010243,62.92307692307693,2
36005036901,25469,31.1,41.9,10.533333333333333,64.58742632612966,2
36005036902,15000,27.2,55.9,5.7177615571776155,48.35348061692372,2
36005037000,82039,35.1,15.5,57.68667642752562,27.027027027027028,3
36005037100,21250,37.3,27.8,9.01213171577123,48.91436935838009,4
36005037200,68030,36.7,13.9,31.747919143876334,56.40459363957597,1
36005037300,50232,27.0,32.3,10.572259941804074,50.70268582136165,4
36005037400,36398,32.6,29.3,16.373477672530445,56.371608659906826,6
36005037504,29330,30.6,34.1,0.07173601147776185,57.440633245382585,6
36005037600,69345,42.4,21.4,35.45816733067729,60.79881656804733,1
36005037800,43333,34.1,19.8,15.499124343257442,47.18945176960444,2
36005037900,35431,29.1,41.0,4.248704663212435,31.36178224035143,4
36005038000,41942,36.5,39.9,33.505420753742904,36.538017101918186,10
36005038100,36722,32.3,37.9,1.9091256204658267,54.51334379905808,8
36005038200,73077,37.3,18.2,54.592901878914404,28.864188954498093,2
36005038301,47394,31.1,24.7,1.8697225572979495,78.35010060362173,4
36005038303,26837,26.2,33.7,2.568351284175642,52.92225201072386,1
36005038304,20625,28.5,50.4,6.598984771573605,57.998129092609915,3
36005038500,24605,25.8,59.5,3.6290322580645165,64.6917237548602,12
36005038600,62340,38.4,22.0,31.94588969823101,22.531276569901614,2
36005038700,42174,27.6,36.6,2.9696132596685083,83.65254923118425,4
36005038900,42574,27.8,39.8,1.4721919302071973,88.19852941176471,13
36005039000,59758,41.5,14.2,17.193308550185872,37.75821198780901,2
36005039100,31769,35.4,30.8,5.593922651933702,88.43745651871434,13
36005039300,31107,31.2,26.2,3.399339933993399,61.32749481447338,6
36005039400,62712,34.8,27.9,14.65778316172017,46.97593756774333,2
36005039500,23194,31.9,41.1,7.767548906789414,61.47487491842506,5
36005039600,41547,36.6,20.2,23.03030303030303,39.5243757431629,5
36005039700,35493,20.1,34.6,2.9612756264236904,92.54839565102095,4
36005039901,39524,31.6,24.7,0.0,84.39453125,4
36005039902,50534,30.5,20.6,1.082004555808656,85.61460010735374,10
36005040100,26406,33.0,38.3,0.5230622919638611,81.34061777684387,4
36005040302,40938,33.1,38.0,1.0500308832612724,91.40418614102825,2
36005040303,39023,31.8,25.3,8.250355618776672,83.66348170589606,2
36005040304,33218,29.6,33.5,1.4774494556765163,85.60807222517259,5
36005040400,83333,36.4,5.0,54.847396768402156,25.407854984894264,6
36005040501,42037,36.3,35.6,3.5392088827203327,89.3995552260934,5
36005040502,39486,31.9,29.5,5.0464271295922485,72.45827010622155,4
36005040600,48157,32.8,18.1,33.40724316334072,28.514588859416445,5
36005040701,50068,36.0,30.4,0.47694753577106513,81.34206219312603,4
36005040702,34724,35.5,20.1,2.4635669673837612,80.1163780868578,8
36005040800,35476,29.8,22.8,13.054187192118228,48.583656001630324,1
36005040900,58466,43.9,5.2,25.0,33.8150289017341,1
36005041100,42484,40.3,18.7,7.91465932553338,83.15565031982942,3
36005041300,62386,31.5,22.3,11.13658696364232,90.0874635568513,7
36005041400,63603,43.3,8.9,36.39291465378422,43.804213135068146,5
36005041500,42188,38.7,24.3,10.310142497904442,84.16562999822285,1
36005041800,58090,34.0,16.0,25.451688923802042,53.34701205437291,3
36005041900,49667,35.2,30.4,1.795063575168287,80.82278481012658,3
36005042000,32672,36.7,43.1,3.136531365313653,50.2729754322111,5
36005042100,52714,29.4,26.3,7.376237623762376,88.8454011741683,7
36005042200,72091,43.7,7.3,46.91462383770076,28.111888111888117,5
36005042300,63723,31.9,22.7,2.4282560706401766,82.47244434838989,7
36005042400,97083,31.9,8.4,59.64691046658259,29.753914988814323,1
36005042500,42839,35.4,21.1,3.1583629893238436,91.47707979626486,6
36005042600,87763,45.7,9.7,64.08582089552239,30.055523085914672,2
36005042800,104205,50.7,13.9,77.29083665338645,32.770605759682226,1
36005042901,41658,33.6,30.4,2.9695024077046552,84.0223097112861,1
36005042902,48162,40.4,17.5,6.352941176470588,65.89166460549097,3
36005043101,39792,39.3,35.3,1.2365591397849462,74.34564359985659,8
36005043102,38569,38.9,29.2,11.596638655462185,70.01323918799646,5
36005043400,71849,41.4,25.0,40.23383768913342,44.70349721236695,7
36005043600,60536,39.4,21.6,47.421203438395416,36.96456901110523,1
36005044200,40089,41.1,38.8,49.24181963288108,23.156827970610593,1
36005044901,98007,39.1,5.5,51.19496855345912,92.34159779614325,1
36005044902,88264,32.4,12.8,31.608548931383577,95.1537744641193,4
36005045101,73021,47.9,0.7,23.204419889502763,96.3659961064244,1
36005045102,93510,37.4,4.0,54.434589800443455,93.5865811544154,1
36005046203,41371,50.4,13.8,39.02743142144639,35.35171347590828,1
36005046205,46401,62.2,9.4,44.23676012461059,46.92820133234641,3
36005046207,69637,43.4,13.3,56.12770339855818,31.49452855643832,2
36005046208,88817,39.8,11.1,47.73218142548596,21.15630129491155,4
36005046209,31801,26.6,42.6,18.08731808731809,27.124446234393872,5
36005048401,82451,37.9,5.3,45.06472491909385,18.427260812581913,4
36005051601,129109,49.4,4.2,66.23115577889448,98.46225535880708,3
36047000100,165188,44.3,4.6,58.04575416828228,82.68998793727383,2
36047000200,78942,36.4,26.2,22.6628895184136,96.41025641025641,1
36047000501,140795,36.1,6.4,55.45738045738046,95.0586642599278,2
36047000502,169313,36.9,4.3,43.967280163599185,97.72891131939437,3
36047000700,180515,36.4,6.1,41.23324396782842,96.75727229375298,4
36047000900,218500,34.9,1.8,27.42616033755274,95.58398679323153,6
36047001100,166250,31.6,8.6,10.902696365767877,89.08857509627728,4
36047001300,148542,44.9,10.6,78.01179443976412,93.51598173515981,1
36047001501,94323,30.4,15.9,9.968425800631483,68.67088607594937,1
36047001502,130471,30.8,20.0,16.288803627485176,86.07879924953096,3
36047002000,77969,29.3,12.2,20.80200501253133,97.47235387045814,1
36047002200,40708,36.4,25.6,35.75096277278562,94.93371212121212,5
36047002901,22943,31.6,47.0,1.59500693481276,50.90588827377957,1
36047003000,122861,44.4,5.3,55.57029177718833,98.90678941311852,1
36047003300,125778,32.0,14.1,11.236863379143088,70.78353253652058,6
36047003400,103971,43.3,4.6,54.46685878962536,98.06505888951206,1
36047003500,142813,37.5,10.2,22.524101665205958,76.16226071103009,3
36047003700,169709,32.7,8.6,16.258741258741257,91.01591187270502,6
36047003900,136307,35.4,15.1,29.69924812030075,93.53943717796275,8
36047004100,214275,33.1,10.9,33.567525370804056,91.46589259796806,2
36047004300,162500,33.9,10.7,24.81323372465315,89.89690721649485,4
36047004500,165714,38.3,4.9,39.0625,88.92753623188405,4
36047004900,160694,41.0,10.0,39.4275161588181,88.55230715040507,1
36047005100,167650,36.3,6.2,52.01877934272301,97.89059706828745,3
36047005301,166302,43.2,8.4,37.97606093579978,81.50510204081633,2
36047005302,129659,36.3,4.3,0.0,100.0,3
36047005400,79370,42.7,7.4,29.348475791990435,96.16573902288188,3
36047005601,72788,42.5,12.6,53.45195729537367,88.81848676854267,2
36047005602,97750,40.3,3.1,59.4535519125683,98.38150289017341,2
36047005800,73483,40.7,6.6,22.753623188405797,100.0,7
36047005900,103578,38.8,11.0,8.141592920353983,86.28072957969866,2
36047006000,69583,38.4,5.5,32.0704845814978,100.0,4
36047006200,74698,38.0,18.6,22.169362511893436,98.31440087944301,7
36047006300,175813,38.5,6.9,26.985743380855396,98.73179896665101,1
36047006400,82439,38.6,16.5,32.62307127112417,99.35217903415783,2
36047006500,178041,39.2,2.6,38.745847176079735,99.16127904944959,8
36047006600,90074,39.9,19.0,23.10850439882698,96.35416666666666,8
36047006700,218393,37.7,4.1,45.04504504504504,98.41427155599604,2
36047006800,63010,43.4,17.5,25.726927939317317,94.11472560218525,9
36047006901,139384,38.8,10.1,35.23002421307506,98.2084690553746,3
36047007000,81755,49.0,6.9,53.02642796248934,97.84200385356455,2
36047007100,55521,36.5,25.2,22.431004110393424,62.95336787564767,3
36047007200,63352,34.6,25.8,11.150442477876107,97.0374510899944,2
36047007400,70508,34.4,22.0,24.514877102199222,98.40255591054313,6
36047007500,150854,38.5,7.7,38.267644362969754,97.77685435279452,5
36047007600,57147,35.1,16.7,22.94440093970243,95.9238017206063,5
36047007700,199067,36.5,4.2,40.09919877909195,97.76556126972868,6
36047007800,66029,32.0,20.7,18.84715025906736,96.44794400699912,5
36047008000,75125,39.9,14.9,33.23442136498516,97.3669309173273,4
36047008200,44013,36.9,28.3,13.126323218066338,88.71398078975453,2
36047008400,97232,35.0,15.1,23.347280334728033,96.11126113961652,8
36047008800,64741,45.8,9.3,28.934010152284262,80.57553956834532,3
36047009001,44026,34.8,13.4,22.125813449023862,97.72554965883245,1
36047009002,49565,26.9,14.1,8.144796380090497,100.0,2
36047009201,76688,39.2,24.0,41.37291280148423,98.37438423645321,2
36047009202,52775,36.6,21.1,14.165261382799327,95.15677491601345,1
36047009402,71375,34.8,17.8,19.565217391304348,97.8550536236594,1
36047009600,75134,38.2,19.8,33.805774278215225,97.33487833140208,3
36047009800,59342,36.0,24.6,18.0793991416309,97.04770215241419,1
36047010000,64107,35.7,16.6,27.73393461104848,97.81557743957028,2
36047010100,118906,32.5,13.2,30.799475753604195,95.76852698993595,4
36047010401,54250,40.5,27.2,24.324324324324326,96.8586387434555,1
36047010802,59145,40.5,32.9,13.601236476043276,98.2011447260834,1
36047011200,52172,33.2,25.9,20.061099796334013,98.49062862829656,2
36047011400,67955,32.3,30.8,25.578703703703702,87.46113989637306,4
36047011700,118393,37.2,12.1,38.17863397548161,94.0745672436751,2
36047011901,134167,39.5,10.1,37.32876712328767,95.45772187281621,4
36047012000,69030,32.4,18.9,42.12218649517685,100.0,3
36047012100,114552,35.6,9.6,38.84976525821596,93.29237071172555,4
36047012200,54038,32.3,27.7,19.728331177231563,98.57225545051129,3
36047012600,58643,35.4,25.3,31.5136476426799,98.27327327327328,2
36047012700,117627,36.5,14.1,17.94717887154862,71.49947753396029,2
36047012801,65313,39.2,24.1,30.026109660574413,99.8076923076923,1
36047012901,232530,32.1,6.1,44.57831325301205,88.21729150726856,2
36047012902,148438,32.0,10.9,17.34186211798152,85.20942408376963,8
36047013000,80246,35.4,12.0,19.708454810495628,95.33239038189534,5
36047013100,134479,36.3,7.8,37.3951928451649,84.36191008098297,6
36047013200,93750,40.7,19.5,51.39664804469274,97.01612903225806,1
36047013300,213227,36.0,2.3,39.689578713968956,96.08147000221385,3
36047013400,108654,33.5,10.8,30.79710144927536,97.81257195486991,2
36047013500,210667,37.8,2.8,51.59362549800797,95.30740276035132,3
36047013600,104191,39.6,8.5,45.66823371390195,99.16939340548704,4
36047013700,158594,35.3,6.0,29.138627187079408,90.79448841981824,2
36047013800,93117,34.9,8.3,24.183514774494558,97.95640326975476,9
36047013900,163125,35.4,3.6,25.428571428571427,88.54044548651817,7
36047014000,55250,47.8,18.2,51.89048239895697,98.3615510649918,4
36047014101,142750,35.0,12.0,33.82663847780127,94.82173174872666,1
36047014102,127768,38.9,3.8,40.55354993983153,99.16897506925207,3
36047014200,80476,34.6,13.6,31.24031007751938,95.36613272311213,3
36047014300,122344,35.8,10.2,22.810590631364562,93.66306027820711,7
36047014500,112596,34.9,5.3,21.88321935823251,97.02312800549576,5
36047014700,133194,32.7,9.6,45.73099415204678,99.00166389351082,1
36047014800,71250,48.2,13.4,65.66125290023201,100.0,2
36047014901,143859,33.8,6.7,43.58974358974359,97.50608272506082,1
36047014902,142625,37.3,7.8,29.978586723768736,99.76608187134502,4
36047015100,192411,37.9,2.4,50.7918552036199,98.98770788141721,5
36047015300,138182,38.9,6.8,36.29764065335753,96.74858223062381,4
36047015500,215583,39.3,4.3,58.236500341763495,96.10073111291632,1
36047015700,186686,36.9,0.3,42.25092250922509,91.1128903122498,3
36047015900,203936,38.9,5.9,54.43548387096774,93.90290519877675,5
36047016000,96411,37.0,8.9,17.374080362195812,95.39430805996089,12
36047016100,168594,38.8,1.9,39.11630929174789,91.55269509251809,5
36047016200,87446,43.8,16.7,39.92901508429459,94.88859764089122,1
36047016300,145481,34.9,7.5,34.72301541976014,83.29170829170829,3
36047016700,207095,43.2,3.9,42.391304347826086,98.6753574432296,2
36047016900,155873,38.3,11.0,36.61971830985916,99.23691215616681,4
36047017000,98095,43.0,14.2,56.052141527001865,97.60023412350016,2
36047017100,158269,39.5,2.4,39.4124847001224,99.71903535471786,5
36047017200,127188,39.9,2.1,46.14604462474645,98.32149774047772,5
36047017400,101701,40.4,11.1,61.2859097127223,100.0,2
36047017800,73417,38.4,9.1,36.469221835075494,98.93314366998578,2
36047018000,62637,39.6,12.4,37.82569631626235,100.0,3
36047018100,164904,36.3,5.4,22.173274596182086,85.43472875897945,4
36047018200,66083,37.8,9.8,49.54379562043796,100.0,4
36047018300,182401,34.7,4.9,29.666924864446166,90.66034294053266,1
36047018501,46723,35.2,20.9,11.406423034330011,43.999165101231476,1
36047018600,77500,46.5,10.8,50.882352941176464,100.0,1
36047018700,116842,35.3,10.8,39.03846153846154,74.7945205479452,2
36047018800,68304,42.3,17.2,41.94139194139194,99.93024066968957,4
36047019000,63289,35.1,13.5,19.3138500635324,99.19809276116169,4
