code,name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,activer per 1000,income,poverty,age_med,population,black_population,asian_population,hispanic_population,occupied_unit,vacant_unit,owner,renter,vacant_occupied_ratio,owner_renter_ratio,total_count,black_pct,asian_pct,hispanic_pct,retailers_per_1000
3,Brooklyn 15,59,61,0,32,34,0,0.401395012,61037,19.1,43.8,151970,12622,37490,14582,61746,4096,26920,34826,0.066336281,0.7729857003388273,95,0.08305586628939922,0.2466934263341449,0.09595314864775943,0.6251233796143976
3,Brooklyn 16,48,30,18,6,5,1,0.300519899,35431,39.1,35.1,99827,72787,2752,23012,37770,3437,5818,31952,0.090998147,0.182085628,35,0.729131397317359,0.027567692107345707,0.2305187975197091,0.35060654933034147
3,Brooklyn 17,59,54,5,9,13,0,0.336197236,70874,17.8,35.3,160620,138468,4087,14345,61560,6243,20686,40874,0.1014132553606237,0.5060918921563831,67,0.8620844228614121,0.025445150043581125,0.08931017307931764,0.4171336072718217
3,Brooklyn 18,55,65,0,21,27,0,0.342307044,84272,11.5,42.6,189888,120212,13523,18587,68816,7547,42192,26624,0.1096692629621018,1.5847355769230769,92,0.6330679137175598,0.07121566397034042,0.09788401584091676,0.4844961240310077
3,Brooklyn 2,64,57,7,25,28,0,0.419157714,131217,12.9,37.7,135987,28610,16952,16484,63155,5140,20713,42442,0.081387064,0.4880307242825503,85,0.21038775765330509,0.12465897475493981,0.12121746931692,0.6250597483582989
3,Brooklyn 3,97,73,24,20,22,0,0.438754658,71123,24.8,32.4,166380,82997,11921,29685,69016,4526,13428,55588,0.065578996,0.2415629272504857,95,0.49884000480827023,0.07164923668710181,0.178416877028489,0.5709820891934126
3,Brooklyn 4,80,71,9,24,24,0,0.751935439,90757,19.9,46.1,94423,23824,7458,40193,38586,2602,7555,31031,0.067433784,0.2434662112081466,95,0.2523114071783358,0.07898499306313081,0.4256695932135179,1.0061107992756002
3,Brooklyn 5,94,60,34,15,11,4,0.298763121,54431,24.6,40.7,200828,113423,16432,65791,76572,4367,17813,58759,0.0570312908112626,0.3031535594547218,71,0.5647768239488518,0.08182125998366761,0.3275987412113849,0.3535363594717868
3,Brooklyn 6,48,61,0,26,38,0,0.565181136,156437,9.3,38.8,107930,11555,12213,15078,50621,2895,18649,31972,0.057189704,0.5832916301764044,99,0.10706013156675623,0.11315667562308904,0.13970165848234967,0.9172611878069119
3,Brooklyn 7,64,64,0,13,14,0,0.492724613,83202,20.7,49.6,129890,7485,33668,52915,44274,2448,14222,30052,0.055292045,0.4732463729535472,78,0.05762568327045962,0.2592039417969051,0.40738317037493266,0.6005081222572946
3,Brooklyn 8,46,33,13,12,12,0,0.307208222,78598,20.2,40.5,107419,55666,7260,14470,48645,3762,9343,39302,0.0773358,0.2377232710803521,45,0.5182137238291178,0.0675858088420112,0.13470615068097821,0.4189203027397388
3,Brooklyn 9,39,32,7,10,11,0,0.34003124,77119,17.0,37.1,94109,51898,4428,12227,39630,3557,7916,31714,0.089755236,0.2496058523049757,43,0.5514669160229096,0.047051822886227675,0.12992381175020454,0.4569169792474683
2,Manhattan 1&2,141,172,0,82,107,0,1.153572722,159292,8.5,49.5,149102,8019,27571,13697,78584,12247,21518,57066,0.1558459737351114,0.3770721620579679,279,0.05378197475553648,0.18491368325039234,0.09186328821880324,1.8712022642218078
2,Manhattan 10,62,54,8,13,8,5,0.388620613,50079,28.2,29.7,138953,79063,7460,39170,63590,5691,8552,55038,0.089495204,0.1553835531814383,62,0.5689909537757372,0.05368721798018035,0.281893877786014,0.44619403683259806
2,Manhattan 11,62,54,8,14,17,0,0.420832781,35570,38.2,47.7,128317,57119,12567,58553,57494,3579,4470,53024,0.062249973910321,0.084301448,71,0.44513977103579416,0.09793714005159099,0.4563152193396043,0.5533171754327174
2,Manhattan 12,86,60,26,28,25,3,0.296036077,59898,20.1,39.6,202678,42601,8567,134835,82694,4337,11304,71390,0.052446369,0.1583415044123826,85,0.21019054855485056,0.04226901785097544,0.6652670738807369,0.41938444231737043
2,Manhattan 3,89,96,0,56,67,0,0.677071946,56386,26.0,42.7,141787,16693,42145,36823,73474,8257,11637,61837,0.1123798894847156,0.1881883015023367,163,0.11773293743432049,0.2972416371035426,0.25970646110010087,1.1496117415559959
2,Manhattan 4,97,121,0,58,86,0,1.074772166,110114,15.4,44.5,112582,9755,21765,23475,67653,12663,12068,55585,0.1871757350006651,0.217108932265899,207,0.08664795437991864,0.19332575367287844,0.2085146826313265,1.8386598212858183
2,Manhattan 5&6,223,252,0,126,171,0,1.376379793,142767,9.0,37.6,183089,11789,41394,14459,105067,28188,32806,72261,0.2682859508694452,0.453993164,423,0.06438944993964683,0.2260867665452321,0.07897252156055252,2.310351796121012
2,Manhattan 7,61,68,0,33,45,0,0.299573988,140255,10.5,37.2,226989,24445,26894,36123,115928,15454,41317,74611,0.133306880132496,0.5537655305517953,113,0.10769244324614849,0.11848151231998026,0.15913987021397513,0.4978214803360515
2,Manhattan 8,74,93,0,39,54,0,0.449329629,143047,7.2,31.7,206975,9931,27725,18488,114602,25116,45126,69476,0.2191584789096176,0.6495192584489607,147,0.047981640294721586,0.1339533760115956,0.08932479768087934,0.7102307041913275
2,Manhattan 9,42,36,6,16,20,0,0.340261434,59472,24.2,47.9,105801,34284,12434,42585,44758,3863,6648,38110,0.086308593,0.1744424035686171,56,0.3240423058383191,0.11752251869074962,0.4025009215413843,0.5292955643141369
4,Queens 1,106,131,0,46,65,0,0.739632442,81167,16.1,41.6,177115,21301,34324,44477,80758,20287,15196,65562,0.2512073107308254,0.231780604618529,196,0.12026649352115856,0.19379499195437994,0.25111932924935776,1.106625638709313
4,Queens 10,47,68,0,21,34,0,0.526837734,94153,9.1,48.2,129072,30470,34014,30695,39767,2191,27198,12569,0.055095934,2.163895297955287,102,0.23606979050452462,0.26352733358125696,0.23781300359489277,0.7902566009669021
4,Queens 11,28,36,0,15,22,0,0.304329081,99269,8.4,47.9,118293,6526,60889,14190,44752,1364,30970,13782,0.0304790847336431,2.2471339428239734,58,0.05516809954942389,0.5147303728876603,0.11995637949836423,0.4903079641229828
