GEOID,NAME,B01003_001_estimate,B02001_001_estimate,med_inc_estimate,B25003_001_estimate,S1701_C01_001_estimate,B01003_001_moe,B02001_001_moe,med_inc_moe,B25003_001_moe,S1701_C01_001_moe
36005042600,"Census Tract 426, Bronx County, New York",7223,7223,82402,2195,7011,1553,1553,27802,346,1475
36005042800,"Census Tract 428, Bronx County, New York",2099,2099,89762,772,2099,510,510,20928,223,510
36005042901,"Census Tract 429.01, Bronx County, New York",3257,3257,38833,1206,3248,483,483,14786,169,482
36005042902,"Census Tract 429.02, Bronx County, New York",4165,4165,42331,1689,4063,463,463,9830,138,465
36005043000,"Census Tract 430, Bronx County, New York",3565,3565,59500,1264,3565,804,804,37240,375,804
36005043101,"Census Tract 431.01, Bronx County, New York",5844,5844,39681,1886,5837,1402,1402,14531,292,1402
36005043102,"Census Tract 431.02, Bronx County, New York",5008,5008,32759,1838,4601,671,671,3308,231,650
36005043400,"Census Tract 434, Bronx County, New York",3880,3880,101875,1460,3880,589,589,53435,229,589
36005043501,"Census Tract 435.01, Bronx County, New York",1059,1059,27391,420,1059,159,159,19927,56,159
36005043600,"Census Tract 436, Bronx County, New York",2214,2214,73550,715,2214,509,509,15046,100,509
36005044200,"Census Tract 442, Bronx County, New York",4122,4122,42009,1271,4108,1318,1318,28032,277,1319
36005044400,"Census Tract 444, Bronx County, New York",4725,4725,96094,1397,4715,833,833,37453,261,834
36005044800,"Census Tract 448, Bronx County, New York",2231,2231,101667,672,2225,470,470,41935,139,469
36005044901,"Census Tract 449.01, Bronx County, New York",1995,1995,90000,794,1995,335,335,34226,90,335
36005044902,"Census Tract 449.02, Bronx County, New York",2160,2160,98542,898,2146,337,337,33192,111,336
36005045101,"Census Tract 451.01, Bronx County, New York",1490,1490,54986,929,1480,315,315,29084,288,314
36005045102,"Census Tract 451.02, Bronx County, New York",2159,2159,85461,904,2159,402,402,6298,113,402
36005045600,"Census Tract 456, Bronx County, New York",3637,3637,104190,1167,3609,622,622,17026,188,609
36005045800,"Census Tract 458, Bronx County, New York",5381,5381,28850,2029,5328,825,825,4378,241,818
36005046000,"Census Tract 460, Bronx County, New York",3108,3108,38937,987,2876,691,691,16959,171,681
36005046203,"Census Tract 462.03, Bronx County, New York",7733,7733,43106,3245,6633,1612,1612,21620,628,1564
36005046204,"Census Tract 462.04, Bronx County, New York",6891,6891,72088,2383,6877,1350,1350,17192,289,1355
36005046205,"Census Tract 462.05, Bronx County, New York",3053,3053,49219,1922,3053,643,643,20695,156,643
36005046206,"Census Tract 462.06, Bronx County, New York",4084,4084,37343,2015,4084,1233,1233,15456,307,1233
36005046207,"Census Tract 462.07, Bronx County, New York",6351,6351,56157,2968,6351,1428,1428,13611,353,1428
36005046208,"Census Tract 462.08, Bronx County, New York",5879,5879,78339,1502,5144,1015,1015,12567,272,1007
36005046209,"Census Tract 462.09, Bronx County, New York",5039,5039,42121,1488,5039,1462,1462,25248,368,1462
36005048401,"Census Tract 484.01, Bronx County, New York",4213,4213,87870,1267,4177,800,800,20439,180,799
36005051601,"Census Tract 516.01, Bronx County, New York",4417,4417,118972,1958,4417,868,868,20071,259,868
36047000100,"Census Tract 1, Kings County, New York",4722,4722,134738,2511,4689,626,626,47227,262,625
36047000200,"Census Tract 2, Kings County, New York",1160,1160,58882,323,1160,270,270,15570,69,270
36047000301,"Census Tract 3.01, Kings County, New York",3892,3892,179936,1830,3827,683,683,101166,256,682
36047000501,"Census Tract 5.01, Kings County, New York",4604,4604,141354,1934,3365,493,493,30955,279,420
36047000502,"Census Tract 5.02, Kings County, New York",2826,2826,155600,1472,2746,269,269,10843,114,269
36047000700,"Census Tract 7, Kings County, New York",4044,4044,186422,1799,3997,485,485,35452,187,482
36047000900,"Census Tract 9, Kings County, New York",4687,4687,198590,2311,4260,602,602,54280,451,567
36047001100,"Census Tract 11, Kings County, New York",1508,1508,154167,820,1508,254,254,34801,117,254
36047001300,"Census Tract 13, Kings County, New York",2028,2028,125673,1121,2028,314,314,18087,139,314
36047001501,"Census Tract 15.01, Kings County, New York",5117,5117,86172,2216,5117,530,530,36737,199,530
36047001502,"Census Tract 15.02, Kings County, New York",5074,5074,122159,2636,5074,685,685,20626,278,685
36047002000,"Census Tract 20, Kings County, New York",1845,1845,65313,439,1845,614,614,36485,79,614
36047002200,"Census Tract 22, Kings County, New York",4083,4083,38309,1511,4032,808,808,5052,206,810
36047002300,"Census Tract 23, Kings County, New York",4418,4418,21342,1539,4261,667,667,3252,220,690
36047002901,"Census Tract 29.01, Kings County, New York",4370,4370,24600,1434,4253,617,617,9468,163,598
36047003000,"Census Tract 30, Kings County, New York",1736,1736,99511,747,1736,288,288,32929,160,288
36047003101,"Census Tract 31.01, Kings County, New York",3608,3608,151300,1378,2757,495,495,42734,206,435
36047003300,"Census Tract 33, Kings County, New York",4630,4630,126101,2371,4563,581,581,38204,323,580
36047003400,"Census Tract 34, Kings County, New York",3582,3582,88897,1367,3536,511,511,19273,221,503
36047003500,"Census Tract 35, Kings County, New York",2297,2297,132528,1147,2283,263,263,19272,112,265
36047003600,"Census Tract 36, Kings County, New York",3699,3699,77536,1920,3694,363,363,16000,237,364
36047003700,"Census Tract 37, Kings County, New York",3220,3220,144732,1785,3127,422,422,22556,278,420
36047003800,"Census Tract 38, Kings County, New York",1512,1512,132865,563,1512,334,334,30840,65,334
36047003900,"Census Tract 39, Kings County, New York",2349,2349,126429,1010,2349,404,404,20906,114,404
36047004100,"Census Tract 41, Kings County, New York",3535,3535,195750,1312,3294,600,600,17962,174,592
36047004300,"Census Tract 43, Kings County, New York",3919,3919,136226,1805,3802,427,427,18757,169,426
36047004400,"Census Tract 44, Kings County, New York",2335,2335,128024,929,2335,280,280,15793,95,280
36047004500,"Census Tract 45, Kings County, New York",3614,3614,152157,1583,3613,672,672,5366,152,672
36047004600,"Census Tract 46, Kings County, New York",1386,1386,122813,562,1386,228,228,114669,150,228
36047004700,"Census Tract 47, Kings County, New York",1912,1912,122969,780,1912,276,276,22229,86,276
36047004900,"Census Tract 49, Kings County, New York",2833,2833,157431,1039,2448,404,404,25602,143,387
36047005000,"Census Tract 50, Kings County, New York",2405,2405,125958,995,2405,356,356,24392,133,356
36047005100,"Census Tract 51, Kings County, New York",2967,2967,155991,1085,2937,533,533,35151,159,533
36047005201,"Census Tract 52.01, Kings County, New York",1659,1659,59400,956,1659,281,281,20152,102,281
36047005202,"Census Tract 52.02, Kings County, New York",2734,2734,103750,1454,2717,367,367,14251,170,368
36047005301,"Census Tract 53.01, Kings County, New York",2334,2334,125357,904,2327,388,388,26017,119,386
36047005302,"Census Tract 53.02, Kings County, New York",91,91,119205,33,91,85,85,20613,27,85
36047005400,"Census Tract 54, Kings County, New York",3388,3388,74874,1662,3364,535,535,14893,214,543
36047005601,"Census Tract 56.01, Kings County, New York",2585,2585,67443,1355,2585,584,584,30433,311,584
36047005602,"Census Tract 56.02, Kings County, New York",1867,1867,77348,923,1867,401,401,27417,138,401
36047005800,"Census Tract 58, Kings County, New York",3066,3066,67656,1326,3066,492,492,11828,156,492
36047005900,"Census Tract 59, Kings County, New York",1234,1234,86167,566,1229,159,159,28460,65,158
36047006000,"Census Tract 60, Kings County, New York",3516,3516,85352,1193,3516,561,561,19775,147,561
36047006200,"Census Tract 62, Kings County, New York",2536,2536,68722,1022,2520,625,625,20608,138,623
36047006300,"Census Tract 63, Kings County, New York",2284,2284,156397,1011,2284,294,294,31580,147,294
36047006400,"Census Tract 64, Kings County, New York",3264,3264,93938,1325,3260,498,498,16149,174,498
36047006500,"Census Tract 65, Kings County, New York",6308,6308,173087,2559,6307,1240,1240,9844,336,1240
36047006600,"Census Tract 66, Kings County, New York",3898,3898,75609,1731,3896,497,497,19654,175,498
36047006700,"Census Tract 67, Kings County, New York",4102,4102,193750,1578,4068,529,529,40200,258,523
36047006800,"Census Tract 68, Kings County, New York",4684,4684,65964,1684,4648,775,775,14404,234,777
36047006901,"Census Tract 69.01, Kings County, New York",1838,1838,128411,855,1784,278,278,18233,128,249
36047006902,"Census Tract 69.02, Kings County, New York",2157,2157,210000,860,2157,354,354,47511,95,354
36047007000,"Census Tract 70, Kings County, New York",2632,2632,78565,1155,2621,375,375,18697,176,374
36047007100,"Census Tract 71, Kings County, New York",4669,4669,42526,1669,4669,857,857,14975,216,857
36047007200,"Census Tract 72, Kings County, New York",1844,1844,46094,586,1843,401,401,16263,100,401
36047007400,"Census Tract 74, Kings County, New York",5508,5508,65750,1504,5464,1002,1002,22169,262,994
36047007500,"Census Tract 75, Kings County, New York",4811,4811,139911,2156,4811,810,810,48558,270,810
36047007600,"Census Tract 76, Kings County, New York",5327,5327,59583,1292,5327,1257,1257,10144,215,1257
36047007700,"Census Tract 77, Kings County, New York",6211,6211,175469,2694,6211,779,779,31622,384,779
36047007800,"Census Tract 78, Kings County, New York",5053,5053,56435,1401,4968,943,943,26934,185,902
36047008000,"Census Tract 80, Kings County, New York",3571,3571,66768,1245,3571,716,716,18590,196,716
36047008200,"Census Tract 82, Kings County, New York",3780,3780,42679,1354,3696,596,596,21697,233,605
36047008400,"Census Tract 84, Kings County, New York",3742,3742,71546,1195,3742,803,803,21763,203,803
36047008500,"Census Tract 85, Kings County, New York",7412,7412,16206,3076,7412,1364,1364,8110,405,1364
36047008800,"Census Tract 88, Kings County, New York",2531,2531,70241,1113,2507,477,477,29652,206,468
36047009001,"Census Tract 90.01, Kings County, New York",1388,1388,63631,406,1388,277,277,18143,52,277
36047009002,"Census Tract 90.02, Kings County, New York",1392,1392,53712,435,1381,606,606,5890,92,606
36047009201,"Census Tract 92.01, Kings County, New York",2182,2182,70750,524,2167,453,453,31677,79,455
36047009202,"Census Tract 92.02, Kings County, New York",3653,3653,48571,1172,3533,674,674,14424,178,700
36047009401,"Census Tract 94.01, Kings County, New York",2460,2460,40978,596,2400,429,429,9967,51,405
36047009402,"Census Tract 94.02, Kings County, New York",2970,2970,63344,947,2969,593,593,20224,193,593
36047009600,"Census Tract 96, Kings County, New York",5822,5822,63457,1866,5789,600,600,15986,243,598
36047009800,"Census Tract 98, Kings County, New York",6364,6364,55284,1753,6195,934,934,12241,239,889
36047010000,"Census Tract 100, Kings County, New York",5434,5434,53500,1684,5425,1074,1074,16634,251,1075
36047010100,"Census Tract 101, Kings County, New York",4393,4393,92015,1508,4319,746,746,36100,301,739
36047010200,"Census Tract 102, Kings County, New York",5025,5025,59188,1171,4964,927,927,9926,150,940
36047010401,"Census Tract 104.01, Kings County, New York",2411,2411,57243,599,2337,657,657,9272,141,630
36047010402,"Census Tract 104.02, Kings County, New York",2207,2207,30881,669,2180,622,622,7530,148,623
36047010601,"Census Tract 106.01, Kings County, New York",2773,2773,39306,709,2773,481,481,14965,104,481
36047010602,"Census Tract 106.02, Kings County, New York",2185,2185,58786,526,2185,688,688,6521,194,688
36047010801,"Census Tract 108.01, Kings County, New York",1895,1895,58750,529,1895,413,413,19753,116,413
36047010802,"Census Tract 108.02, Kings County, New York",2413,2413,49750,682,2413,768,768,17475,135,768
36047011000,"Census Tract 110, Kings County, New York",2490,2490,60083,547,2464,739,739,17787,83,735
36047011200,"Census Tract 112, Kings County, New York",6274,6274,45833,2026,6274,942,942,13269,334,942
36047011400,"Census Tract 114, Kings County, New York",3709,3709,53148,844,3119,785,785,12502,123,749
